zi,chaizi
邦,"['丰', '邑']"
邦,"['丰', '阝']"
玎,"['玉', '丁']"
玎,"['王', '丁']"
兲,"['王', '八']"
玐,"['玉', '八']"
玐,"['王', '八']"
玑,"['王', '几']"
玑,"['玉', '几']"
玏,"['玉', '力']"
玏,"['王', '力']"
式,"['弋', '工']"
迀,"['辶', '干']"
迀,"['辵', '干']"
迂,"['辵', '于']"
迂,"['辶', '于']"
幵,"['千', '干']"
幵,"['干', '干']"
刑,"['开', '刀']"
刑,"['开', '刂']"
邢,"['开', '阝']"
邢,"['开', '邑']"
邞,"['夫', '阝']"
邞,"['夫', '邑']"
刓,"['元', '刂']"
刓,"['元', '刀']"
戎,"['十', '戈']"
戎,"['一', '十', '戈']"
邧,"['元', '邑']"
邧,"['元', '阝']"
忈,"['二', '心']"
动,"['云', '力']"
迃,"['辵', '亏']"
迃,"['辶', '亏']"
圩,"['土', '于']"
扜,"['手', '于']"
扜,"['才', '于']"
扜,"['扌', '于']"
扞,"['扌', '干']"
扞,"['才', '干']"
扞,"['手', '干']"
圬,"['土', '亏']"
扝,"['才', '亏']"
扝,"['手', '亏']"
扝,"['扌', '亏']"
圭,"['土', '土']"
扗,"['手', '土']"
扗,"['扌', '土']"
扗,"['才', '土']"
扛,"['才', '工']"
扛,"['扌', '工']"
扛,"['手', '工']"
寺,"['土', '寸']"
扙,"['才', '丈']"
扙,"['扌', '丈']"
扙,"['手', '丈']"
扤,"['扌', '兀']"
扤,"['才', '兀']"
扤,"['手', '兀']"
圵,"['土', '上']"
卋,"['十', '廿']"
吉,"['士', '口']"
扣,"['手', '口']"
扣,"['扌', '口']"
扣,"['才', '口']"
圲,"['土', '千']"
扦,"['扌', '千']"
扦,"['手', '千']"
扦,"['才', '千']"
圪,"['土', '乞']"
圫,"['土', '乇']"
托,"['手', '乇']"
托,"['才', '乇']"
托,"['扌', '乇']"
扢,"['才', '乞']"
扢,"['手', '乞']"
扢,"['扌', '乞']"
扥,"['才', '丿', '一', '乚']"
扥,"['扌', '丿', '一', '乚']"
